Functions,Hall,Line,Shift,Nr QR Codes,Day,Tag Name,Link for QR code,,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,MFP-GL,MFP-Planner,PT,MSE,VSM,MFE-GL,MFE Process Engineer,MFE Process Technician,MFE Team Leader,MFE Foreman,MFE Line Responsible,MFE Maintenance coordinator,MFE Shiftleader,Quality Technician,MOE-T
,Hall 1,Aftermarket Line,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hSZ13lRukVEqZAxUuAMFuNN4yPZj8BImZz6i56eTJiR9DkDbuvOTyg,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hq8L2vYs1L2a3S4hj8u1HFOXs1L2a3S4heSE8eK15I9SWVXYc0Up1L2u3S0SCs1L2a3S4hI2xYgfp1L2u3SH1L7dvH,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SnVnCBA0xhs1L2a3S4hOD2QOsMrC7pYITbprRlZAnLWxNtMWzf5ZQ3m3QqiiZk,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM L3,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19ieXtc5Gpwx3yamnSFzoTc0x5y87XupYNj9hkp1L2u3ScKjXp1L2u3StvU2chf7PkY,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM L4,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4h3228bEYa4GOMOpMBOgHwKMEgHOFGUy9k1eyza76aeyzucOJKrAkeG,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM L5,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19ICFnsjAElsOf1oGo0DqbyXR5hbjK6FzXzPTOCgk5N4qs1L2a3S4h7icJqmmw6,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM Pressfit,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18CXGeDwb7hrvfrD3Adhs1L2a3S4hRJ52B6rp1L2u3S9E3ep1KzjcbjqysF1op1L2u3SGkVvuUn,,,,,,,,,PT,,,,,,,,,,,,
,Hall 1,BCM SOBE,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18SI8O4sBUMkIVhePa6PMD9EOKgzIHGKRhMEANG6ZV0l9beJNjripgc,,,,,,,,,PT,,,,,,,,,,,,
,Hall 2,DASy NRCS L1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19zs1L2a3S4hEGFHuD7Rs1L2a3S4h6sm48Zk4dGhmDBPpEs1L2a3S4hs1L2a3S4hcWUuOyXxmCkp1L2u3S2jP66vDO2xz,,,,,,,,,PT,,,,,,,,,,,,
,Hall 2,DASy NRCS L2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3S3UTAUx9M0s1L2a3S4hVbogdTYJ6enaMwv6mUQf19n3lsx6cccNruzXTrRIptj,,,,,,,,,PT,,,,,,,,,,,,
