Functions,Hall,Line,Shift,Nr QR Codes,Day,Tag Name,Link for QR code,,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,MFP-GL,MFP-Planner,PT,MSE,VSM,MFE-GL,MFE Process Engineer,MFE Process Technician,MFE Team Leader,MFE Foreman,MFE Line Responsible,MFE Maintenance coordinator,MFE Shiftleader,Quality Technician,MOE-T,MFE Technical coordinator
,Hall 3,Cooling Pipe Assembly,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19192WDiIwlHxB8tNuDc7fgHW6oCh7zm63PFzEjp7drss1L2a3S4h7i4vgN48zo,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,EPC,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19jBgZPmIHWXF4cksztLP5NBqg1Ep1L2u3SHv5SUmh5IGfZXQCFEt3cIODJzH,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,EPS3,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SNZ6iJMfPV4NvACs1L2a3S4h2fBilVeu7b5OgRrMXaop1L2u3ScMEvjSk2PDp1L2u3Sx9Imd1Q,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 3,FABS2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3Sl1c3AvhT3bLnM2a3DftFsBfp1L2u3SMUzG3lbf4YmbIXUYs1L2a3S4he3pnaYrerByZ,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,Laser finishing,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX192sNp1L2u3SUQUIyWmAqInHnp1L2u3SM79D8pFfKedAUvFYcNZBNAJ3ATJTW3N3MLR,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA01_FA1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19FrkkeRVs1L2a3S4homViWQEIxfuqec9FRZabVNMtVpxpOrUVmTreQBs1L2a3S4h5MuVmq,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA0102_FA2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hTEwWCDsZp1L2u3SSKeJs1L2a3S4h1dZeSVHWyGe1x9eVy9YPJMqD9Wkk63mknkbRSLi,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA02_FA1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SUM4QyVLznZJFmtdEDcMgs1L2a3S4h46bwVCtKsxi1Iw0Ves1L2a3S4h2cx4p1L2u3SmOZtmo6S1,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA03_FA1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hu9XwNX9IXRcnruqvMIRos1L2a3S4hYibH4zFAdI8Ws1L2a3S4hFDs1L2a3S4hrFNbh9qFMsstRuuI,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA0304_FA2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1s1L2a3S4hsndNERceiLsHqgcavAdRhEZlg9zdeRs1L2a3S4hgEpWWH91ziIoMuPEpJvZ4j,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA04_FA1.1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18a2z726H1p1L2u3SwoBpyGQMgCCIoYEp1L2u3SmInwc47TPW85O5s1L2a3S4h5cs1L2a3S4hG8uQPjFcqt,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA04_FA1.2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19BXxuuy5i156KyYMCxOUd63zNQgxYVheg4niUVEAte3PeqXp1L2u3SIll1L8,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA05_FA1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3SUroH7beAp1L2u3Sm1IoF3mVGCkCIFjuiujYQp1L2u3ShGqp1L2u3SUIHZhmbqMbp1L2u3Sup1L2u3SKAvKJ,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA0507_FA2,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX193uMNjSs1L2a3S4hdxzwJkuXEtDhv33Bxs1L2a3S4hz2hwhUGbflzozTzVgyPLdJmUbSUA,,,,,,,,,PT,,,,,,,,,,,,,
,Hall 2,MSA06_FA1,1,1,,PT Process Confirmation,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3S9i1L7M2C7rxs1L2a3S4hie5bnZswNLiSfUmmjgsZ2pjUy4UnRj9EfVI0xICfO,,,,,,,,,PT,,,,,,,,,,,,,
