Functions,Hall,Line,Shift,Nr QR Codes,Day,Tag Name,Link for QR code,,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,MFP-GL,MFP-Planner,PT,MSE,VSM,MFE-GL,MFE Process Engineer,MFE Process Technician,MFE Team Leader,MFE Foreman,MFE Line Responsible,MFE Maintenance coordinator,MFE Shiftleader,Quality Technician,MOE-T,MFE Equipment Engineer,MFE Technical Coordinator
MFO-SL,Hall 1,SMT 101,1,7,Monday,14Q SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19Jhmv0muk9blAAn0XTmSCxxXo2qbQJBZvnbQp1L2u3SE08cA0vbAU1TCjaSH,,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Tuesday,Line Focus SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19QoRsA0h5IwZvPM72t3QmpKxsUee6i6A6w4tpVqnOJANJLkxlnK0x6,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Wednesday,5S SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3Sfjw6SZ1Z1JN3zpiBatyBgzJ6rG0kb9q43CRwFuGlWXCCJm1dMU3EH,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Thursday,DLR,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19Vp7Es1L2a3S4hzPVvjLzEJvpif3smLPC2ZzxUCz3mZvslh03I3g78p1L2u3Sy82g4Be,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Friday,HSE SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18A4UhbWs1L2a3S4hpupcRauxvxREmZskNIw3rp1L2u3ScXV2PgC85YZ88kp1L2u3S70RISc0ZC,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Saturday,SMT Core Checklist,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19PwxuYXzIMKhlGRjQnEHe7OC43EdJOB82tgn0fftS5Rj2ecp1L2u3S2TU8Nl,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Sunday,Line Focus SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19QoRsA0h5IwZvPM72t3QmpKxsUee6i6A6w4tpVqnOJANJLkxlnK0x6,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
MFO-SL,Hall 1,SMT 101,2,7,Monday,5S SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX1p1L2u3Sfjw6SZ1Z1JN3zpiBatyBgzJ6rG0kb9q43CRwFuGlWXCCJm1dMU3EH,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Tuesday,14Q SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX19Jhmv0muk9blAAn0XTmSCxxXo2qbQJBZvnbQp1L2u3SE08cA0vbAU1TCjaSH,,MFO-SL,MFO-FM,MFO-GL,MFQ-GL,MFQ-Planner,,,,,VSM,,,,,,,,,,,,
,Hall 1,SMT 101,,,Wednesday,HSE SMT,https://bbm-elpc.bosch.tech/eLPC/CljP/calendar;auditid=U2FsdGVkX18A4UhbWs1L2a3S4hpupcRauxvxREmZskNIw3rp1L2u3ScXV2PgC85YZ88kp1L2u3S70RISc0ZC,,MFO-SL,MFO-FM,MFO-GL,,,,,,,VSM,,,,,,,,,,,,
